slang,baku
abis,habis
aja,saja
ajah,saja
aj,saja
ajalah,saja
ajla,saja
ajaa,saja
ajaah,saja
ajaahhh,saja
ajala,aja lah
ampe,sampai
sampe,sampai
smpe,sampai
smpai,sampai
ancur,hancur
anggar,anggaran
angaran,anggaran
bakal,akan
bakalan,akan
banget,sangat
bgt,sangat
bgd,sangat
bngt,sangat
bangett,sekali
bangettt,banget
becus,becus
beneran,benar
bener,benar
bener2,benar-benar
benar2,benar-benar
bnernya,benar
blm,belum
blum,belum
belom,belum
belomm,belum
brp,berapa
berapa2,berapa
byk,banyak
bnyk,banyak
bnyak,banyak
banyk,banyak
bayak,banyak
byak,banyak
banyakan,lebih banyak
catring,katering
catering,katering
dapet,dapat
dateng,datang
deket,dekat
dekat2,dekat
dikit,sedikit
sedikit2,sedikit
duit,uang
duwit,uang
uwang,uang
duid,uang
efesien,efisien
emang,memang
mmg,memang
emng,memang
gak,tidak
gk,tidak
ngak,tidak
ngk,tidak
nggak,tidak
ngga,tidak
engga,tidak
enggak,tidak
kagak,tidak
kaga,tidak
ndak,tidak
tdak,tidak
tida,tidak
ga,tidak
gx,tidak
gaada,tidak ada
gamau,tidak mau
gausah,tidak usah
gatau,tidak tahu
gabisa,tidak bisa
gabole,tidak boleh
gaboleh,tidak boleh
gasuka,tidak suka
gapapaa,tidak apa apa
gapapa,tidak apa apa
gadeng,gandeng
gimana,bagaimana
bgmn,bagaimana
gmn,bagaimana
bgmna,bagaimana
giman,bagaimana
gimna,bagaimana
gmne,gimana
gitu,begitu
bgitu,begitu
bgtu,begitu
bgini,begini
begini,begini
bgini,begini
gratis,gratis
gue,saya
gw,saya
aq,saya
aku,saya
sa,saya
sy,saya
i,saya
u,kamu
gwa,saya
gwah,saya
gweh,saya
habisin,menghabiskan
hakk,ya
halo,hai
hai,halo
hello,halo
hoiii,hai
ayy,hai
kayak,seperti
kyk,seperti
kya,seperti
ky,seperti
kyknya,sepertinya
kayanya,sepertinya
kekny,kayaknya
klo,kalau
klau,kalau
klu,kalau
klw,kalau
kasih,beri
kasi,beri
ksuh,beri
ksh,beri
ksih,beri
kepo,penasaran
kepen,ingin
kepoin,mengintip
keren,keren
kerenn,keren
korupsi,korupsi
koropsi,korupsi
koruptor,koruptor
kracunan,keracunan
kudu,harus
hrus,harus
hrs,harus
hrsnya,seharusnya
kualitas,kualitas
kwalitas,kualitas
liat,lihat
liatin,melihat
ngeliat,melihat
lo,kamu
lu,kamu
elo,kamu
elu,kamu
mu,kamu
kmu,kamu
u,kamu
ninyuh,kamu
sampean,anda
maen,main
maling,maling
maling,pencuri
mampus,mati
mantap,mantap
mantapp,mantap
masakin,memasak
masakkan,memasak
masalah,masalah
mslh,masalah
mesti,harus
micin,micin
mie,mi
mi,mi
mikir,pikir
mikirnya,memikirnya
mikirin,memikirkan
mkn,makan
mkan,makan
mkanan,makanan
mlm,malam
mo,mau
mw,mau
mau,ingin
mosok,masa
mubadzir,mubazir
mubazir,mubazir
nambah,tambah
nanggung,menanggung
nanya,bertanya
nanyaaaa,bertanya
ngelola,mengelola
ngeluh,mengeluh
ngomong,berbicara
ngomong,berbicara
ngomongin,membicarakan
ngomelin,memarahi
ngurus,mengurus
ngurusin,mengurusi
ngutang,berhutang
nyari,mencari
nyiapin,menyiapkan
oknum,oknum
ortu,orang tua
orgnya,orangnya
org tua,orang tua
orangtua,orang tua
orang,orang
pake,pakai
pakek,pakai
pke,pakai
pakai,pakai
pantes,pantas
proyek,proyek
projek,proyek
project,proyek
pungli,pungutan liar
sarap,sarapan
seko,sekolah
sekolh,sekolah
sklh,sekolah
skolah,sekolah
