Username,Date,source,Comment,processed_comment,word_count,comment_length,dominant_topic,topic_label_short,topic_label,dominant_topic_probability,confidence_cat
@DoroteusNiki,2026-02-13 19:46:52+00:00,Merdeka,"Gini dong jadi pejabat klu bohong jangan pakai malu.
Bagus dengan saran Ahok 15 ribu berikan kepada orang tuanya langsung. Mbg yg ada bukan harga 15 ribu boleh ditafsirkan 6/7 ribuan perporsi",gin jabat bohong jangan pakai malu bagus saran ahok 15 ribu ikan orang tua langsung bukan harga 15 ribu tafsir 6 7 ribu porsi,32,191,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.61364454,Sedang (0.60–0.80)
@Jagokontruksi,2026-01-13 08:42:21+00:00,Merdeka,"Begitu ternyata cara mereka kerja meskipun fakta Dilapangan carut-marut   tapi bikin laporan bagus tanpa rasa malu dan ironisnya Presiden percaya....

MBG inilah yang bikin Kepercayaan rakyat menurun bahkan kalau hari ini ada pilpres Prabowo gak mungkin dipilih lagi..",nyata cara kerja meski fakta lapang kacau acak acak bikin lapor bagus rasa malu ironis presiden percaya ini bikin percaya rakyat turun bahkan hari milu presiden prabowo mungkin pilih,38,268,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.973688304,Tinggi (≥0.80)
@sopiangsyah1579,2026-01-05 02:50:32+00:00,Merdeka,"Pelayanan dan imformasi pihak BGN di daerah tidak baik pak persiden,kami sdh selesai membangun tapi belum jga di byr2",layan imformasi pihak bgn daerah baik persiden bangun jga byr2,19,117,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.585910678,Rendah (<0.60)
@RONNYALEXANDER-x2m,2025-12-30 02:00:02+00:00,Merdeka,"Disaat MBG menyerap ayam, susu, ikan, daging, dll disitulah harga ayam naik dipasar.
Disaat itulah juga para ibu menjerit karena barang tersebut sudah naik tinggi karena kelangkaan stock.
Coba kalau uang MBG diberikan ke orang tua murid semua terjaga harga stabil tapi transaksi naik di pasar",saat serap ayam susu ikan daging lainlain situ harga ayam naik pasar saat ibu jerit barang sebut naik tinggi langka stock coba uang beri orang tua murid semua jaga harga stabil transaksi naik pasar,46,292,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.588147163,Rendah (<0.60)
@MasiahMasiah-j4z,2025-12-29 22:02:10+00:00,Merdeka,"Laporkan juga menu roti 1000, buah potong 3 uprit,sambal secubit,, susu 2000 gitu dong jgn yg wah2 saja yg wihhh jg dong",lapor menu roti 1000 buah potong 3 uprit sambal cubit susu 2000 jangan wah2 wihhh,22,120,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.684595823,Sedang (0.60–0.80)
@erdiwarliyantoofficial,2025-12-25 10:20:06+00:00,Merdeka,daerah saya gk ada nasi goreng pas pak Presiden ulang tahun mbg nya,daerah nasi goreng presiden ulang tahun,13,67,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.552952707,Rendah (<0.60)
@angeliaramadhan839,2025-12-25 06:15:17+00:00,Merdeka,50 orang yang kerja itu para penjilat mbg bukan karena seleksi ,50 orang kerja jilat bukan seleksi,11,63,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.886784673,Tinggi (≥0.80)
@AfifSyabil-s6r,2025-12-24 22:02:35+00:00,Merdeka,Pembohongan gila 58 triliunan uang rakyat dipake utk begini..,bohong gila 58 triliun uang rakyat guna begini,9,61,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.558588266,Rendah (<0.60)
@antoxnovan6452,2025-12-23 06:26:48+00:00,Merdeka,"Itu laporanya bohong pak, coba cek aja 1 hari 1 ekor sapi per sppg gila bener sampai sekolahan jadi jajan pasar itu sapinya kemana ya",laporanya bohong coba periksa 1 hari 1 ekor sapi per sppg gila benar sekolah jajan pasar sapi,25,133,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.953119874,Tinggi (≥0.80)
@MarshaRamadani-v1z,2025-12-22 15:44:18+00:00,Merdeka,Bohongggg.. bapak president harus terjun langsung tanpa BGN tau...1 lele dari mana...modusssss,bohongggg president terjun langsung bgn tahu 1 ikan lele modusssss,12,94,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.480052292,Rendah (<0.60)
@mohamadsabriidris123,2025-12-22 04:15:23+00:00,Merdeka,Ada MBG nya hanya snack ???,snack,6,27,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.61454761,Sedang (0.60–0.80)
@alishoper,2025-12-22 03:53:09+00:00,Merdeka,Tipu tipu,tipu tipu,2,9,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.74674207,Sedang (0.60–0.80)
@aizadewie,2025-12-20 02:27:57+00:00,Merdeka,"woiii 
rakyat tidak setuju danctidak percaya dgn programMBG woiii stop MBG rakyat menderita woiii tolong jgn bacot terus",woiii rakyat tuju danctidak percaya dgn programmbg woiii stop rakyat derita woiii mohon bantu jangan bacot terus,18,120,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.943014145,Tinggi (≥0.80)
@mankeong6915,2025-12-18 04:49:55+00:00,Merdeka,Mana lelenya ga pernah dapet ,lele pernah,5,29,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.738860726,Sedang (0.60–0.80)
@warnawarni1329,2025-12-18 02:56:16+00:00,Merdeka,"Porsinya terlalu dikit, terlalu kecil ,sepertinya hanya syarat saja tidak bikin kenyang untuk anak SMP dan sma",porsi terlalu sedikit terlalu kecil seperti syarat bikin kenyang anak sekolah tengah pertama sekolah tengah,17,110,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.707891881,Sedang (0.60–0.80)
@KhintAAaaaaa,2025-12-18 00:55:49+00:00,Merdeka,"Kemaren menunya nasgor ada yg basi bpk..., 
Ibu2 banyak yg tanya sebenarnya anggaran berapa. Kok kadang gk sesuai, roti 2 ribuan, susu kotak 1 , buahnya salak, kadang belimbing, udah ukuranya kecil mentah pula, 
Tolong pengawasanya diperketat, para ahli gizi tolong cari yg bener2 ahli. Gk asal2an. kasian ank2, 
Padahal pemerintah pusat sudah sangat perhatian dengan pemenuhan gizi untuk anak2,",menu nasgor basi bpk ibu2 banyak tanya benar anggar berapa kadang sesuai roti 2 ribu susu kotak 1 buah salak kadang belimbing ukuranya kecil mentah mohon bantu pengawasanya ketat pakar gizi mohon bantu cari benar pakar asal2an kasi ank2 padahal perintah pusat sangat perhati penuh gizi anak2,60,395,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.641224682,Sedang (0.60–0.80)
@hendrizal4233,2025-12-17 21:23:43+00:00,Merdeka,Kami di sekolah kecamatan danau kerinci barat kerinci jambi.. Kasian anak sekolah kami belum mendapatkan MBG program pemerintah. Selama setahun ini... Mereka punya hak sama dengan siswa Indonesia lainnya.. Mohon perhatian nya. Pak presiden. Apakah ini kesengajaan atau bagaimana.,sekolah camat danau kerinci barat kerinci jambi kasi anak sekolah dapat program perintah lama tahun punya bebas siswa indonesia lain mohon perhati presiden sengaja bagaimana,39,279,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.963374078,Tinggi (≥0.80)
@hendrizal4233,2025-12-17 21:25:56+00:00,Merdeka,Lebih baik. MBG dikelola Sekolah Masing-masing dengan didampingi pihak kesehatan dlln. Atau tunai saja pada orang tua masing-masing.,lebih baik kelola sekolah masing masing damping pihak sehat dlln tunai orang tua masing masing,18,132,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.518792629,Rendah (<0.60)
@lindairawati8805,2025-12-17 14:31:28+00:00,Merdeka,"Maaf klo yg sy tau n liat tiap hri MBG menunya ga sesuai yg di laporin k pk Presiden. lele 1... paling cm aym di potong tipis2 tepungnya yg byk...g prnh liat ada daging sapi...cm  ayam,telor,mie spagheti,mie aym itupun aymnya sedikit.",maaf tahu n lihat tiap hri menu sesuai laporin k pk presiden ikan lele 1 paling cuma aym potong tipis2 tepung banyak prnh lihat daging sapi cuma ayam telur mi spagheti mi aym aymnya sedikit,41,234,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.714147866,Sedang (0.60–0.80)
@zhahirasofia8873,2025-12-17 11:47:01+00:00,Merdeka,"Beritanya MEMALUKAN PAK PRABOWO SERING KERACUNAN, pakPRABOWO NIAT BAIK tapi ... PKI PKI di sekitarnya BERBAHAYA krn mereka TIDAK PUNYA NURANI mereka cari celah untuk MENGGARONG UANG DENGAN SEGALA CARA tidak punya MALU",berita malu prabowo sering racun pakprabowo niat baik pki pki sekitar bahaya punya nurani cari celah garong uang segala cara punya malu,33,217,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.576917529,Rendah (<0.60)
@ardanykresnaariatmaja1219,2025-12-17 11:28:41+00:00,Merdeka,"Terang terangan presiden di kibulin, rakyat di bohongi, sabar betul ini rakyat indonesia",terang terang presiden kibulin rakyat bohong sabar betul rakyat indonesia,13,88,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.492176116,Rendah (<0.60)
@bisrieanime1715,2025-12-17 11:26:10+00:00,Merdeka,YANG DISAMPAIKAN ADA YG KURANG TEPAT,sampai cukup tepat,6,36,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.797541142,Sedang (0.60–0.80)
@robykusuma3638,2025-12-17 09:33:45+00:00,Merdeka,Luar biasa sekali ngibul nya ,luar lumrah sekali ngibul,5,29,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.844683528,Tinggi (≥0.80)
@JoyyudiYudi,2025-12-17 08:46:43+00:00,Merdeka,"YANG MAKAN  KOQ ANAK ANAK ORANG KAYA KAYA BERADA DI KOTA KOTA SAJA
KAMI DI PELOSOK PELOSOK DESA DAN ANAK ANAK BURUH KULI TANI GAK KEBAGIAN 

INI PROGAM KEBLINGER",makan koq anak anak orang kaya kaya ada kota kota pelosok pelosok desa anak anak buruh kuli tani bagi progam keblinger,29,161,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.675571263,Sedang (0.60–0.80)
@nungkyadeliya7115,2025-12-17 06:11:41+00:00,Merdeka,"Allhamdulilah telur terus naik, peternak senang",allhamdulilah telur terus naik ternak senang,6,47,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.885071278,Tinggi (≥0.80)
@dediagus6506,2025-12-17 05:23:43+00:00,Merdeka,"bpk presiden nya ini ke bayang lele nya lele jumbo 
pak presiden lebih ngerti sikit napa pak, harusnya yang bapak tanya masalah di lapangan, jgn asl terima laporan",bpk presiden bayang ikan lele ikan lele jumbo presiden lebih erti sikit napa harus tanya masalah lapang jangan asl terima lapor,28,163,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.960452557,Tinggi (≥0.80)
