Timestamp,Username,VideoID,Comment,Date,source,comment_length,word_count,processed_comment
2026-02-13T19:46:52Z,@DoroteusNiki,D9jL8fLw-SI,"Gini dong jadi pejabat klu bohong jangan pakai malu.
Bagus dengan saran Ahok 15 ribu berikan kepada orang tuanya langsung. Mbg yg ada bukan harga 15 ribu boleh ditafsirkan 6/7 ribuan perporsi",2026-02-13T19:46:52Z,Merdeka,191.0,32.0,gin jabat bohong jangan pakai malu bagus saran ahok 15 ribu ikan orang tua langsung bukan harga 15 ribu tafsir 6 7 ribu porsi
2026-01-13T08:42:21Z,@Jagokontruksi,D9jL8fLw-SI,"Begitu ternyata cara mereka kerja meskipun fakta Dilapangan carut-marut   tapi bikin laporan bagus tanpa rasa malu dan ironisnya Presiden percaya....

MBG inilah yang bikin Kepercayaan rakyat menurun bahkan kalau hari ini ada pilpres Prabowo gak mungkin dipilih lagi..",2026-01-13T08:42:21Z,Merdeka,268.0,38.0,nyata cara kerja meski fakta lapang kacau acak acak bikin lapor bagus rasa malu ironis presiden percaya ini bikin percaya rakyat turun bahkan hari milu presiden prabowo mungkin pilih
2026-01-05T02:50:32Z,@sopiangsyah1579,D9jL8fLw-SI,"Pelayanan dan imformasi pihak BGN di daerah tidak baik pak persiden,kami sdh selesai membangun tapi belum jga di byr2",2026-01-05T02:50:32Z,Merdeka,117.0,19.0,layan imformasi pihak bgn daerah baik persiden bangun jga byr2
2025-12-30T02:00:02Z,@RONNYALEXANDER-x2m,D9jL8fLw-SI,"Disaat MBG menyerap ayam, susu, ikan, daging, dll disitulah harga ayam naik dipasar.
Disaat itulah juga para ibu menjerit karena barang tersebut sudah naik tinggi karena kelangkaan stock.
Coba kalau uang MBG diberikan ke orang tua murid semua terjaga harga stabil tapi transaksi naik di pasar",2025-12-30T02:00:02Z,Merdeka,292.0,46.0,saat serap ayam susu ikan daging lainlain situ harga ayam naik pasar saat ibu jerit barang sebut naik tinggi langka stock coba uang beri orang tua murid semua jaga harga stabil transaksi naik pasar
2025-12-29T22:02:10Z,@MasiahMasiah-j4z,D9jL8fLw-SI,"Laporkan juga menu roti 1000, buah potong 3 uprit,sambal secubit,, susu 2000 gitu dong jgn yg wah2 saja yg wihhh jg dong",2025-12-29T22:02:10Z,Merdeka,120.0,22.0,lapor menu roti 1000 buah potong 3 uprit sambal cubit susu 2000 jangan wah2 wihhh
2025-12-25T10:20:06Z,@erdiwarliyantoofficial,D9jL8fLw-SI,daerah saya gk ada nasi goreng pas pak Presiden ulang tahun mbg nya,2025-12-25T10:20:06Z,Merdeka,67.0,13.0,daerah nasi goreng presiden ulang tahun
2025-12-25T06:15:17Z,@angeliaramadhan839,D9jL8fLw-SI,50 orang yang kerja itu para penjilat mbg bukan karena seleksi ,2025-12-25T06:15:17Z,Merdeka,63.0,11.0,50 orang kerja jilat bukan seleksi
2025-12-24T22:02:35Z,@AfifSyabil-s6r,D9jL8fLw-SI,Pembohongan gila 58 triliunan uang rakyat dipake utk begini..,2025-12-24T22:02:35Z,Merdeka,61.0,9.0,bohong gila 58 triliun uang rakyat guna begini
2025-12-23T06:26:48Z,@antoxnovan6452,D9jL8fLw-SI,"Itu laporanya bohong pak, coba cek aja 1 hari 1 ekor sapi per sppg gila bener sampai sekolahan jadi jajan pasar itu sapinya kemana ya",2025-12-23T06:26:48Z,Merdeka,133.0,25.0,laporanya bohong coba periksa 1 hari 1 ekor sapi per sppg gila benar sekolah jajan pasar sapi
2025-12-22T15:44:18Z,@MarshaRamadani-v1z,D9jL8fLw-SI,Bohongggg.. bapak president harus terjun langsung tanpa BGN tau...1 lele dari mana...modusssss,2025-12-22T15:44:18Z,Merdeka,94.0,12.0,bohongggg president terjun langsung bgn tahu 1 ikan lele modusssss
